Objects
100
,,Global Angle antbot:antbot,,,,,,Global Angle fw450_1:fw450_1,,,,,,Global Angle qav250_1:qav250_1,,,,,,Global Angle qav400:qav400,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
120,0,-0.0495796,-0.0150099,0.621551,-947.018,-1552.43,95.2977,,,,,,,,,,,,,,,,,,
121,0,-0.0483765,-0.0145799,0.621726,-947.028,-1552.44,95.3015,,,,,,,,,,,,,,,,,,
122,0,-0.0514917,-0.0150972,0.621765,-947.047,-1552.5,95.3884,,,,,,,,,,,,,,,,,,
123,0,-0.0440807,-0.0134208,0.621645,-947.035,-1552.41,95.3035,,,,,,,,,,,,,,,,,,
124,0,-0.0491893,-0.0148334,0.621529,-947.008,-1552.43,95.2934,,,,,,,,,,,,,,,,,,
125,0,-0.0431029,-0.0132129,0.621511,-947.038,-1552.41,95.3139,,,,,,,,,,,,,,,,,,
126,0,-0.0469975,-0.0143927,0.62165,-947.031,-1552.44,95.2913,,,,,,,,,,,,,,,,,,
127,0,-0.0481242,-0.0146923,0.621558,-947.005,-1552.45,95.2867,,,,,,,,,,,,,,,,,,
128,0,-0.048475,-0.0148506,0.621573,-947.027,-1552.44,95.2907,,,,,,,,,,,,,,,,,,
129,0,-0.0479466,-0.014397,0.621564,-947.021,-1552.45,95.3173,,,,,,,,,,,,,,,,,,
130,0,-0.0414455,-0.0125629,0.621503,-947.035,-1552.41,95.2978,,,,,,,,,,,,,,,,,,
131,0,-0.0447281,-0.0134784,0.62153,-947.053,-1552.42,95.3461,,,,,,,,,,,,,,,,,,
132,0,-0.0443089,-0.0133133,0.621608,-947.036,-1552.42,95.3562,,,,,,,,,,,,,,,,,,
133,0,-0.0470584,-0.0141718,0.621725,-947.029,-1552.45,95.3263,,,,,,,,,,,,,,,,,,
134,0,-0.0473137,-0.0143754,0.621671,-947.037,-1552.44,95.3279,,,,,,,,,,,,,,,,,,
135,0,-0.0485668,-0.0141193,0.621727,-947.067,-1552.46,95.4239,,,,,,,,,,,,,,,,,,
136,0,-0.0521416,-0.0153698,0.621768,-947.051,-1552.49,95.3833,,,,,,,,,,,,,,,,,,
137,0,-0.0491574,-0.0143812,0.621649,-947.06,-1552.46,95.4274,,,,,,,,,,,,,,,,,,
138,0,-0.0478397,-0.0144684,0.621632,-947.03,-1552.42,95.3179,,,,,,,,,,,,,,,,,,
139,0,-0.0472279,-0.0142494,0.621661,-947.024,-1552.43,95.3333,,,,,,,,,,,,,,,,,,
140,0,-0.0456346,-0.0139187,0.621387,-947.042,-1552.41,95.3396,,,,,,,,,,,,,,,,,,
141,0,-0.0531619,-0.0156759,0.621554,-947.05,-1552.49,95.4023,,,,,,,,,,,,,,,,,,
142,0,-0.0487015,-0.0145822,0.621532,-947,-1552.42,95.3376,,,,,,,,,,,,,,,,,,
143,0,-0.0471025,-0.0141974,0.621629,-947.022,-1552.42,95.3314,,,,,,,,,,,,,,,,,,
144,0,-0.0476912,-0.0143844,0.621487,-947.035,-1552.43,95.3559,,,,,,,,,,,,,,,,,,
145,0,-0.0520694,-0.0153454,0.621667,-947.047,-1552.48,95.4103,,,,,,,,,,,,,,,,,,
146,0,-0.0473135,-0.0137604,0.621634,-947.065,-1552.47,95.439,,,,,,,,,,,,,,,,,,
147,0,-0.044327,-0.0133708,0.6216,-947.033,-1552.42,95.3715,,,,,,,,,,,,,,,,,,
148,0,-0.0367728,-0.0131481,0.62251,-946.904,-1552.49,95.0912,,,,,,,,,,,,,,,,,,
149,0,-0.0336306,-0.0123629,0.622482,-946.913,-1552.48,95.0883,,,,,,,,,,,,,,,,,,
150,0,-0.0353559,-0.0128948,0.622668,-946.918,-1552.48,95.0815,,,,,,,,,,,,,,,,,,
151,0,-0.0321126,-0.0118219,0.622488,-946.939,-1552.44,95.1191,,,,,,,,,,,,,,,,,,
152,0,-0.0326717,-0.0120082,0.622317,-946.945,-1552.45,95.1037,,,,,,,,,,,,,,,,,,
153,0,-0.0347649,-0.0127423,0.622454,-946.92,-1552.49,95.084,,,,,,,,,,,,,,,,,,
154,0,-0.0315899,-0.0117838,0.62254,-946.939,-1552.46,95.118,,,,,,,,,,,,,,,,,,
155,0,-0.0356292,-0.0130482,0.622515,-946.917,-1552.49,95.0892,,,,,,,,,,,,,,,,,,
156,0,-0.0356534,-0.0129374,0.622562,-946.912,-1552.49,95.0827,,,,,,,,,,,,,,,,,,
157,0,-0.0400707,-0.0137323,0.622569,-946.946,-1552.56,95.1804,,,,,,,,,,,,,,,,,,
158,0,-0.0407442,-0.0140164,0.622472,-946.947,-1552.55,95.185,,,,,,,,,,,,,,,,,,
159,0,-0.0380572,-0.0134029,0.622351,-946.938,-1552.54,95.1891,,,,,,,,,,,,,,,,,,
160,0,-0.0356866,-0.012896,0.622505,-946.92,-1552.46,95.0944,,,,,,,,,,,,,,,,,,
161,0,-0.0406244,-0.0140507,0.622527,-946.944,-1552.54,95.1849,,,,,,,,,,,,,,,,,,
162,0,-0.0342222,-0.0126345,0.622564,-946.919,-1552.48,95.0722,,,,,,,,,,,,,,,,,,
163,0,-0.0409864,-0.0140503,0.622539,-946.94,-1552.54,95.1812,,,,,,,,,,,,,,,,,,
164,0,-0.0335264,-0.012437,0.622454,-946.909,-1552.47,95.0737,,,,,,,,,,,,,,,,,,
165,0,-0.0452258,-0.0156293,0.622339,-946.944,-1552.52,95.0328,,,,,,,,,,,,,,,,,,
166,0,-0.0340948,-0.0124001,0.622434,-946.914,-1552.48,95.0836,,,,,,,,,,,,,,,,,,
167,0,-0.0348669,-0.0127634,0.622497,-946.914,-1552.47,95.0734,,,,,,,,,,,,,,,,,,
168,0,-0.0405662,-0.0138419,0.622596,-946.939,-1552.55,95.1709,,,,,,,,,,,,,,,,,,
169,0,-0.0349519,-0.0127531,0.622379,-946.915,-1552.49,95.0842,,,,,,,,,,,,,,,,,,
170,0,-0.0360326,-0.013224,0.622495,-946.92,-1552.48,95.0945,,,,,,,,,,,,,,,,,,
171,0,-0.0366236,-0.0125914,0.622364,-946.965,-1552.52,95.1981,,,,,,,,,,,,,,,,,,
172,0,-0.0357585,-0.0130504,0.622376,-946.937,-1552.48,95.0966,,,,,,,,,,,,,,,,,,
173,0,-0.0479612,-0.0161741,0.622449,-946.946,-1552.52,95.0571,,,,,,,,,,,,,,,,,,
174,0,-0.0311534,-0.0119008,0.62256,-946.903,-1552.48,95.0085,,,,,,,,,,,,,,,,,,
175,0,-0.0351301,-0.0126928,0.622517,-946.915,-1552.48,95.0888,,,,,,,,,,,,,,,,,,
176,0,-0.0413099,-0.0139919,0.622431,-946.954,-1552.53,95.1761,,,,,,,,,,,,,,,,,,
177,0,-0.0531387,-0.0156122,0.621623,-947.044,-1552.48,95.3733,,,,,,,,,,,,,,,,,,
178,0,-0.0448386,-0.0137144,0.621542,-947.01,-1552.42,95.2531,,,,,,,,,,,,,,,,,,
179,0,-0.0524893,-0.0151492,0.621677,-947.045,-1552.51,95.4029,,,,,,,,,,,,,,,,,,
180,0,-0.0515345,-0.0152514,0.621647,-947.034,-1552.48,95.3931,,,,,,,,,,,,,,,,,,
181,0,-0.0467291,-0.0142154,0.62158,-947.031,-1552.41,95.3167,,,,,,,,,,,,,,,,,,
