Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
342,0,-0.0515289,-0.0160438,0.648246,-948.208,-1557.24,95.9805
343,0,-0.0532393,-0.0166104,0.648156,-948.204,-1557.24,95.9581
344,0,-0.0523346,-0.0160423,0.64829,-948.19,-1557.23,95.9603
345,0,-0.0522346,-0.0163048,0.648262,-948.23,-1557.22,96.0166
346,0,-0.0521199,-0.015761,0.648201,-948.221,-1557.23,96.0083
347,0,-0.0517808,-0.0162411,0.648213,-948.236,-1557.24,96.017
348,0,-0.0516405,-0.0161022,0.648173,-948.218,-1557.25,96.0016
349,0,-0.0501944,-0.0159925,0.648939,-948.08,-1557.21,95.994
350,0,-0.0526269,-0.0162761,0.648157,-948.239,-1557.22,96.0139
351,0,-0.0521532,-0.0165165,0.64819,-948.235,-1557.24,95.9976
352,0,-0.0512621,-0.0158234,0.648899,-948.08,-1557.23,95.9896
353,0,-0.0521283,-0.0161808,0.648214,-948.219,-1557.24,95.9843
354,0,-0.0529907,-0.0165481,0.648347,-948.243,-1557.25,95.9761
355,0,-0.0526325,-0.0162756,0.648249,-948.24,-1557.24,95.9858
356,0,-0.0476394,-0.0154935,0.647684,-948.289,-1557.19,95.8269
357,0,-0.0527602,-0.016411,0.648179,-948.227,-1557.23,95.9547
358,0,-0.0528756,-0.0162903,0.648148,-948.227,-1557.23,95.9827
