Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
261,0,0.0257029,-0.0275206,-1.54068,897.269,1249.16,88.34
262,0,0.0273865,-0.0293589,-1.54088,897.272,1249.15,88.3079
263,0,0.0227236,-0.0250256,-1.54075,897.279,1249.13,88.2919
264,0,0.0256469,-0.0274024,-1.54069,897.306,1249.19,88.3287
265,0,0.0248063,-0.0262804,-1.54081,897.234,1249.08,88.3217
266,0,0.0254993,-0.0274201,-1.5407,897.306,1249.14,88.3155
267,0,0.0231029,-0.0246769,-1.54113,897.284,1249.19,88.2717
268,0,0.0234137,-0.0255795,-1.54099,897.254,1249.15,88.2958
269,0,0.0235885,-0.0255569,-1.54074,897.239,1249.16,88.2757
270,0,0.0247301,-0.0269409,-1.54094,897.298,1249.17,88.2616
271,0,0.0247876,-0.0263007,-1.54059,897.259,1249.06,88.2611
272,0,0.0228155,-0.0241589,-1.54085,897.267,1249.16,88.3382
273,0,0.0228562,-0.0247046,-1.54074,897.262,1249.15,88.2725
274,0,0.0242403,-0.0263837,-1.54108,897.297,1249.23,88.2412
275,0,0.0238322,-0.0256788,-1.54091,897.301,1249.19,88.2522
276,0,0.0220313,-0.0235403,-1.54088,897.266,1249.17,88.2654
277,0,0.0218242,-0.023222,-1.54084,897.276,1249.26,88.3074
278,0,0.0253055,-0.0270907,-1.54031,897.315,1249.14,88.2565
279,0,0.024801,-0.0262603,-1.54099,897.277,1249.21,88.2885
280,0,0.0217743,-0.0234073,-1.54042,897.308,1249.17,88.2955
281,0,0.0243753,-0.0261926,-1.54092,897.281,1249.21,88.2729
282,0,0.0241479,-0.0260994,-1.54074,897.258,1249.12,88.2723
283,0,0.0262946,-0.0274239,-1.54004,897.294,1249.1,88.2924
284,0,0.0226298,-0.0244352,-1.54062,897.255,1249.19,88.3012
285,0,0.0237286,-0.0251354,-1.54059,897.269,1249.19,88.3166
286,0,0.0234389,-0.0257672,-1.54082,897.243,1249.16,88.3276
287,0,0.0252824,-0.0269213,-1.54062,897.244,1249.16,88.3449
288,0,0.0246624,-0.0264605,-1.54098,897.256,1249.22,88.3326
289,0,0.0267584,-0.028201,-1.54024,897.306,1249.18,88.3291
290,0,0.0221639,-0.0243537,-1.54074,897.266,1249.2,88.28
291,0,0.0235776,-0.0255144,-1.5409,897.286,1249.21,88.2718
292,0,0.0237829,-0.0261679,-1.54065,897.274,1249.19,88.3171
293,0,0.0259862,-0.0279584,-1.54052,897.323,1249.15,88.2971
